ORISPL_CODE,UNITID,NAME,STATE,FUEL,GAS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
87,1,Escalante ,NM,coal,CO2,1903127.55,1759793.438,1828577.008,1902621.244,2057449.201,1559060.702,1967640.959,1926246.813,2164308.835,2037049.242,2072636.857,1383242.059,1798755.138,1567634.466,1457199.782,1453830,836926.682,194330.8
87,1,Escalante ,NM,coal,SO2,2594168.775,2383750.189,2367337.224,2455691.645,2586431.369,1939087.027,2247916.899,2403103.778,2616604.934,2423444.096,2513701.937,1578261.681,1901685.763,1463532.547,1693752.63,1797060.6,1009342.034,218623.8
87,1,Escalante ,NM,coal,NOX,7177097.667,6939727.439,7090682.348,7471476.529,7594275.742,5730675.35,6769672.245,6457306.882,7214077.165,6222770.159,6770082.931,4529031.403,6071708.526,5157502.318,4900560.548,4873346.595,2857837.092,684156.694
87,1,Escalante ,NM,coal,gen,1668686.5,1768206.47,1991751.69,1923467.86,2038353.97,1604910.03,1959707.25,1833792.9,1957540.31,1787165.07,1759866.52,1208594.4,1626496,1492632.21,1462298.15,1402342,791999.33,182870
113,1,Cholla,AZ,coal,CO2,846698.375,1039269.665,1023234.812,925585.81,1009828.551,1030006.199,894669.09,1079476.021,957925.173,1157384.342,1064261.878,1019760.775,1032544.185,989512.421,801502.545,189501.681,404753.157,59755.363
113,1,Cholla,AZ,coal,SO2,1484833.809,1922922.869,1578032.064,1425083.65,1555669.996,1702978.564,1582328.56,1051962.204,988957.311,1662815.49,2094233.632,1375790.978,1337422.189,1207691.284,913230.434,181183.556,358828.873,47126.237
113,1,Cholla,AZ,coal,NOX,3089805.362,3714804.196,3524308.04,3192598.292,3359579.577,3696060.215,3266650.284,1739776.029,1786556.3,2219327.538,2270274.073,2135270.03,2159803.984,1960043.285,1613612.423,332059.811,635646.457,102908.714
113,1,Cholla,AZ,coal,gen,724893.18,887617.61,924475.09,872842.91,963699.7,982707.66,836341.67,946343.6,812700.57,1002569.8,937745.74,904348.21,900054.55,858271.59,684665.25,144279.51,314262.87,45891.24
113,2,Cholla,AZ,coal,CO2,2379150.034,2174596.773,2345753.796,2222787.275,1971299.57,2248875.592,2423278.091,2127037.042,2172551.694,1775046.424,2202568.686,2180383.042,1896880.504,1929359.84,1291665.297,,,
113,2,Cholla,AZ,coal,SO2,2415338.045,2840769.655,2792640.613,1902160.771,2089828.914,2758478.44,3197627.044,3074744.866,2916638.386,3345063.251,3988675.443,3743577.47,2313918.25,2272735.182,2261814.424,,,
113,2,Cholla,AZ,coal,NOX,7896275.649,6749882.924,7384107.164,6575736.358,6543040.311,7363011.944,8381326.733,6567025.741,6605251.634,5407935.157,6236844.83,5966020.596,5474596.736,5566349.293,3717423.515,,,
113,2,Cholla,AZ,coal,gen,1915534.87,1745919.68,1978986.01,1977930.23,1885655.13,2229626.78,2388114.45,2065455.02,2112552.16,1772175.49,2136444.06,2047066.74,1826354.76,1835722.75,1210852.47,,,
113,3,Cholla,AZ,coal,CO2,2409427.079,2202917.472,1075246.304,2210833.751,2418879.241,2128822.603,2417227.005,2466661.694,2081662.5,2485912.769,2278656.927,2056791.922,2246066.045,1963436.419,1668927.287,760142.325,1185406.616,208694.824
113,3,Cholla,AZ,coal,SO2,19196432.68,17661816.04,8466161.88,17855234.2,19179720.25,17452953.47,20229600.65,20638087.96,7124949.142,3717806.928,3226662.528,2829020.118,2853383.008,1313389.872,1328095.992,683152.056,922791.726,148228.472
113,3,Cholla,AZ,coal,NOX,6760266.387,6786781.569,3308514.054,6638333.927,7503986.534,7147607.659,7983066.685,8007245.728,4407774.368,4744467.185,5666288.264,4104992.207,4565631.819,4187697.632,3354316.993,1347647.291,2120983.869,383765.083
113,3,Cholla,AZ,coal,gen,2171618.78,1971351.01,975222.39,2039976.9,2236226.44,2054589.47,2355619.46,2375016.49,1882605.06,2167865.07,1982291.25,1793810.91,1943349.94,1733322.95,1436789.54,659839.22,1000231.41,184045
113,4,Cholla,AZ,coal,CO2,3257004.07,2933904.742,3420236.088,2716478.614,3406570.436,3118570.429,3306049.102,2832032.104,3229122.972,2821160.211,3060015.542,3211740.089,3068369.784,3327848.652,3067173.814,2062971.779,1690202.056,178045.146
113,4,Cholla,AZ,coal,SO2,19001157.87,19114766.55,21457733,15299201.52,21229090.13,20379373.8,22035274.9,8078264.356,4881305.693,4262568.531,4166972.13,4399702.985,3625896.353,2819024.339,2661321.562,1803861.11,1189325.838,121831.84
113,4,Cholla,AZ,coal,NOX,8834029.725,8510729.314,10850277.25,8713160.03,12194947.07,11262497.96,10780379.22,6009041.6,5623012.052,5103151.012,7817522.754,6392852.966,5097562.775,6178316.57,5825586.434,3791943.738,2825324.327,302667.847
113,4,Cholla,AZ,coal,gen,3028819.67,2778075.56,3134072.78,2553660.12,3250057.95,3025649.02,3160634.11,2752276.71,3145295.14,2873438.28,2942979.55,2957433.49,2627302.28,2893266.51,2731159.4,1921469.4,1470213.57,156614.57
126,4,Irvington Generating Station,AZ,coal,CO2,825703.509,805643.819,695777.908,833183.171,888303.714,683739.844,869102.768,899729.636,366305.883,626073.19,620315.744,432626.824,464202.64,488867.109,526679.479,365773.736,212143.021,38467.27
126,4,Irvington Generating Station,AZ,coal,SO2,6347791.222,6233064.797,5538425.774,6591097.498,7424747.395,5342341.38,5813897.139,5763855.723,1271711.963,3466525.139,4369911.102,742725.933,2733956.64,2169021.662,2294174.763,32714.334,14114.782,2526.489
126,4,Irvington Generating Station,AZ,coal,NOX,3491607.292,3485753.625,2988502.011,3529535.549,3707359.672,2820135.828,3633683.998,3761689.347,1418994.108,2605918.694,2732155.872,1889859.969,2005796.723,1940950.488,1985269.84,1024995.163,650155.222,116561.556
126,4,Irvington Generating Station,AZ,coal,gen,807527.72,760511.48,706838.11,810740.52,864268.01,679213.11,831706.7,858438.92,427299.04,640597.66,555490.76,549288.19,437256.52,560390.91,614607.5,554489.6,322926.03,57703
160,2,Apache Station,AZ,coal,CO2,1482555.775,1514137.325,1595090.775,1794359.67,1584690.603,1813210.323,1798359.471,1527333.192,1284076.687,1102167.608,1119332.41,859622.445,1304002.279,1615242.555,1033099.58,1063400.366,669288.219,57954.196
160,2,Apache Station,AZ,coal,SO2,4921877.825,5441613.425,7432974.9,3050160.882,2735536.908,3429200.074,3110196.751,1982635.195,4273427.756,3812583.582,3563778.422,1358412.629,2638144.595,4074393.777,2278767.482,800546.425,216230.338,587.392
160,2,Apache Station,AZ,coal,NOX,6970649.146,6797293.047,7487052.9,8532582.23,7374975.3,8225659.048,8227867.344,5869021.431,4812443.858,3863179.282,4009549.698,2735318.795,4416593.225,5546915.677,3602399.673,3900487.034,2285231.214,70148.769
160,2,Apache Station,AZ,coal,gen,1401559.75,1413303.75,1458537.25,1611340.15,1434553.33,1647245.06,1618040.51,1383175.19,1183198.42,1055262.08,1079534.28,790539.73,1179329.35,1476833.23,965130.11,1018623.89,645503.48,95527
160,3,Apache Station,AZ,coal,CO2,1646690.825,1383705.025,1614556.625,1547966.509,1845631.224,1578142.18,1839581.445,1793131.98,1136808.207,1385065.853,1198075.988,990392.247,1541309.113,1573254.566,1268718.052,1261876.9,747045.504,72833.858
160,3,Apache Station,AZ,coal,SO2,5851929.175,4890408.5,8283508.2,2789365.265,2573776.131,2608157.185,2213408.467,2924094.806,4101357.584,5364129.063,4259768.452,1895494.41,4850351.852,5548908.693,2845328.321,1111457.771,256059.721,17064.476
160,3,Apache Station,AZ,coal,NOX,7096439.425,5869338.66,6984019.839,6609223.502,7892096.674,6868562.976,7472584.933,7572650.016,5034617.048,6154884.349,5256708.507,3429950.303,6587821.843,6456718.59,5364541.52,5592662.01,2405983.854,151030.793
160,3,Apache Station,AZ,coal,gen,1619094.5,1353124,1601795.5,1426793.34,1655034.4,1422074.65,1679130.34,1653169.64,1091407.87,1360388.03,1131108.51,1031525.5,1402721.62,1456758.37,1209671.41,1198004.34,707610.84,67548.4
465,1,Arapahoe,CO,coal,CO2,390455.365,414797.194,,,,,,,,,,,,,,,,
465,1,Arapahoe,CO,coal,SO2,2177947.276,2121118.19,,,,,,,,,,,,,,,,
465,1,Arapahoe,CO,coal,NOX,2948525.309,2825504.125,,,,,,,,,,,,,,,,
465,1,Arapahoe,CO,coal,gen,314108.99,260972.81,,,,,,,,,,,,,,,,
