ORISPL_CODE,UNITID,CF_06_08,CF_15_17
9,CTG-1,0.586067468,0.442419639
87,1,0.842016516,0.621213454
113,1,0.852415454,0.70310883
113,2,0.880444164,0.781279123
113,3,0.899512203,0.676209672
113,4,0.845283476,0.766068592
116,1,0.307350575,0.371741725
116,2,0.310487343,0.331525871
117,CC4,0.584506195,0.770869987
117,CC5A,0.497156955,0.675890318
117,CC5B,0.577450235,0.69728748
118,1,0.40082964,
118,2,0.402438823,
118,CT3,0.563529566,0.50938138
120,1,0.492391492,0.510965489
120,CT5,0.496487549,0.499881863
120,CT6,0.533690926,0.501542477
124,GT1,0.485636971,0.493500814
126,1,0.317723462,0.372205907
126,2,0.405300604,0.409311741
126,3,0.329469391,0.423838733
126,4,0.68026683,0.458303316
141,1,0.449190138,0.473534508
141,2,0.435465215,0.468568966
141,3,0.513080009,0.460350064
147,K-1,,
147,K-2,,
147,K-7,0.662801361,0.727579299
160,1,0.359588376,0.374353294
160,2,0.888229787,0.601807844
160,3,0.895494006,0.701004398
160,4,0.569597043,0.63659216
228,10,0.285618255,
228,9,0.228478559,
246,1,0.582636365,
246,2,0.579276075,
,,,
,,,
,,,
,,,
247,7,0.42108888,
259,1,,
259,2,,
259,3,0.416542905,
259,4,0.407434594,
260,1A,0.81587052,0.688532146
260,2A,0.826851141,0.592464747
260,3A,0.801136696,0.735787201
260,4A,0.812817934,0.768861
,,,
,,,
,,,
,,,
271,5,0.301228603,0.232902644
271,6,0.286587035,0.202742542
271,7,0.249845659,0.290626817
302,1,0.295093331,0.297253617
302,2,0.34606021,0.306029714
302,3,0.372272027,0.244139785
302,4,0.25052002,0.259754513
302,5,0.280010347,0.271093495
310,1,0.39819037,
310,2,0.373097576,
310,3,0.336084815,
310,4,0.315762023,
315,1,0.216600552,0.279795212
315,2,0.261745846,0.19895122
315,3,0.331381372,0.272913998
315,4,0.326866391,0.231376788
315,5,0.467538818,0.384617134
315,6,0.412835988,0.42605687
329,1,0.53947753,
329,2,0.516672552,
329,31,0.589929228,
329,32,0.612438022,
329,41,0.587404109,
329,42,0.6266943,
,,,
,,,
330,3,0.281096245,
330,4,0.281143794,0.259997564
,,,0.757273922
,,,0.762042861
,,,
,,,
331,3,0.315145796,0.235737058
331,4,0.251179379,0.204480479
,,,
,,,
,,,
,,,
335,1,0.28602618,0.320383488
335,2,0.25455824,0.328281899
335,3A,0.475187353,
335,4A,0.451197384,
