ORISPL_CODE,UNITID,gen_06_08,gen_15_17
9,CTG-1,19878.69,71174.62
87,1,5398410.18,3656639.48
113,1,2765392.93,1143207.63
113,2,6683196.25,1210852.47
113,3,6785225.42,3096860.17
113,4,8938559.84,6122842.37
116,1,196178.32,209858.49
116,2,203546.14,172074.09
117,CC4,503796.1,455439.92
117,CC5A,1915665.16,2556854.1
117,CC5B,1997774.17,2490232.28
118,1,102917.13,
118,2,95027.26,
118,CT3,52752.76,45850.72
120,1,913320.02,629151.67
120,CT5,18137.9,155193.74
120,CT6,16011.45,151966.29
124,GT1,48557.47,18383.01
126,1,168229.23,109540.6
126,2,267530.01,177053.64
126,3,464361.52,457879.34
126,4,2369358.73,1492023.13
141,1,112474.4,113710.21
141,2,110959.85,103123.28
141,3,320566.22,169371.73
147,K-1,,
147,K-2,,
147,K-7,2554686.43,2840070.05
160,1,168023.53,151928.93
160,2,4648460.76,2629257.48
160,3,4754374.63,3115286.59
160,4,113944.22,107208.57
228,10,329854.75,
228,9,139982.5,
246,1,742804.75,
246,2,725629.88,
,,,
,,,
,,,
,,,
247,7,206006,
259,1,,
259,2,,
259,3,539389.25,
259,4,432701.66,
260,1A,4626971.76,2167793.4
260,2A,4557451.55,1498676.38
260,3A,4425714.32,1842164.38
260,4A,4665464.33,2013170.39
,,,
,,,
,,,
,,,
271,5,370843,154529.72
271,6,296751.5,92411.63
271,7,205036,86034.5
302,1,111447.74,54073.28
302,2,174645.84,84547.78
302,3,270778.39,102497.47
302,4,1075066.15,491905.84
302,5,1599515.65,693058.32
310,1,849101.5,
310,2,776776.75,
310,3,817456.5,
310,4,491468.75,
315,1,126240,112307
315,2,109805,220960
315,3,1737806,773709
315,4,1039155,685115
315,5,1633100,304406
315,6,1232900,501555
329,1,29401.1,
329,2,40834.7,
329,31,453335.54,
329,32,384631.95,
329,41,611190.54,
329,42,513661.6,
,,,
,,,
330,3,739053.78,
330,4,1017231.17,153852.46
,,,2029157.42
,,,2054690.01
,,,
,,,
331,3,1455383.33,228476.36
331,4,990168.98,176063.69
,,,
,,,
,,,
,,,
335,1,1306682,726170
335,2,785540,670783
335,3A,1093791,
335,4A,758914,
341,1,8529.94,18032.22
341,2,11983.6,17716.32
341,3,8365.65,16159.38
341,4,9341.11,15625
345,1,598224.2,249153.48
345,2,887710.77,265720.03
350,1,679274.66,298521.05
350,2,1670189.5,376060.19
356,17,,
356,5,69611,98241
356,6,77653,154862
356,7,760898,530341
356,8,523207,363587
,,,
,,,
,,,
377,4,148662,88744.97
377,5,290408.5,231332.31
377,9,44257.75,50170.84
389,3,145613.75,
389,4,412528.18,351707.85
399,**10A,295097.75,123085.58
399,**10B,321034,105513.54
399,10,28210.75,20272.75
399,11,35068,30075.22
399,12,35676.75,16592.58
399,13,44311,17008.42
399,14,37602.25,23248.7
400,1,1282356.75,472028.93
400,10,4378190.75,3083511.88
,,,186565.09
,,,54430.89
,,,169954.52
,,,47618.91
,,,169380.55
,,,137734.96
400,2,1264275,525447.7
,,,
,,,
400,5,1035321.75,
400,6,715516.75,
400,9,4182332.25,3819067.11
404,1,1057080.5,583859.42
404,2,965710,435095.7
404,3,2500365,928377.13
,,,1810165.47
,,,209622.72
,,,233280.39
,,,
,,,
408,5,13860,19977.6
408,6,3890030,1979146.76
408,7,4172172.75,1922719.41
,,,
,,,
420,B3,131261,47047.35
422,GT3,63977.27,51932.26
422,GT4,47088.93,31592.79
,,,54315.34
,,,
,,,
465,3,932002.11,
465,4,2159902.24,
468,2,868545.51,
469,1,2155260,
469,2,2211931.35,
469,3,3248852.17,484232.92
469,4,7779954.89,5457069.34
,,,2817254.87
,,,3151504.76
470,1,7220402.99,6357839.9
470,2,7826740.22,6485880.13
,,,13644444.92
477,5,4000047.36,2426780.19
478,1,4168.24,
478,2,29.04,
478,3,21750.81,
492,5,1111911,229232.53
492,6,1824486,1254632.29
492,7,3043342.76,2134570.9
,,,
525,H1,4729032.69,3330558.11
525,H2,6716275.33,4706359.65
527,1,2373704.13,812578.19
607,CT3,30575.31,116240.42
607,CT4,27171.79,96619.14
2176,GT-2,17338.46,8607.75
2187,2,3619263.27,164196.25
2322,1,,
2322,11A,1222,25544.24
2322,11B,1160.76,26352.02
2322,12A,565.65,30640.23
2322,12B,576.16,30965.18
2322,13A,809.01,31904.76
2322,13B,850.6,32463.77
2322,14A,1.71,42411.46
2322,14B,1.56,41338.64
2322,15A,3760.95,32454.31
2322,15B,3620.24,32345.41
2322,16A,1052.89,42053.38
2322,16B,1042.99,41213.21
2322,17A,2271.68,34965.16
2322,17B,2128.19,34770.09
2322,18A,3995.1,40947.7
2322,18B,4002.18,39200.64
2322,19A,7458.74,29017.73
2322,19B,7649.46,28678.77
2322,2,,
2322,20A,7642.14,42458.07
2322,20B,7822.64,42331.04
2322,21A,7678.26,34020.85
2322,21B,7435.67,34079
2322,22A,6153.42,32699.64
2322,22B,5999.89,31749.52
2322,3,,
2324,1,2088928.83,
2324,2,2360168.92,
2324,3,2106693.68,
2324,4,5445240.95,1155010.62
2326,1,172531.13,
2330,1,1413350.09,517126.37
2330,2,1260335.02,421498.16
2336,1,154204.1,
2336,2,427180.67,
2336,3,1239894.83,231427.38
2336,4,78643.76,83104.68
2336,5,56048.32,74570.52
2336,6,1924814.04,790819.48
2336,8,436714.6,4839193.24
2336,9,609757.63,4763387.47
2341,1,0,
2341,2,0,
2442,1,4473847.95,
2442,2,4406412.11,
2442,3,5478269.94,
2442,4,18247526.85,12665689.46
2442,5,16078299.04,10947732.57
2444,6,392640.39,168257.47
2444,7,440436.63,317167.84
2444,8,1350104.78,1327412.96
,,,443921.91
2446,051B,1654978.34,944657.97
2450,1,52034.33,109171.27
2450,2,46413.38,84025.94
2450,3,106201.49,178091.1
2451,1,7490033.76,6174933.59
2451,2,7721492.27,6135911.04
2451,3,11180883.89,8818707.26
2451,4,11199070.39,9281070.17
2454,121B,893877.33,401005.45
2454,122B,2719660.06,1824194.41
2454,123T,515569.49,317006.43
2454,124T,319593.53,492618.53
3456,**4,1103736.71,942300.06
3456,**5,1050431.25,1052148.02
3456,1,691506.91,626034.13
3456,2,1103041,896108.76
3456,3,1100236.76,892467.36
3456,GT-6A,,543408.12
3456,GT-6B,,673941.03
3644,1,1694559.15,155177.59
3644,2,2434001.74,267363.97
3648,1,140276.94,39804.5
3648,2,217176.71,63618.64
3648,3,435939.37,114381.09
3648,4,286876.36,59302.47
,,,
3648,5,277828.86,57160.4
,,,
3648,6,278548.79,43348.95
,,,
,,,
,,,
3845,30,267778.03,
3845,40,232317.82,
3845,50,238612.8,
3845,60,242776.68,
3845,BW21,13128755.38,6418595.95
3845,BW22,11869258.21,7253412.95
4158,BW41,2565841.07,2100290.61
4158,BW42,2506198.11,2244306.36
4158,BW43,5761814.23,4058922.18
4158,BW44,7793488.24,6496543.43
4162,1,3739627.43,3620033.47
4162,2,4919509.47,4551279.56
4162,3,7731620.28,6175282.57
4941,1,19283230.67,13513225.82
4941,2,18827122.3,13242320.11
4941,3,19114840.64,12519892.61
,,,
,,,
6021,C1,10736879.12,8120968.68
6021,C2,11045747.32,7746135.71
6021,C3,10725774.57,8168179.68
6076,1,7241932.92,5276940.17
6076,2,7128149.32,5552769
6076,3,18021830.71,15169241.87
6076,4,18438546.97,15346413.32
6089,B1,1069128.85,734293.48
6101,BW91,8926471.52,7332752.28
6106,1SG,11465379.51,5754750.46
6112,2,4376145.15,2855418.11
6112,3,4238814.59,2570316.61
6112,4,4456803.18,2734362.24
,,,149363.29
,,,161778.16
6165,1,10763329.27,8423576.6
6165,2,10602669.02,8646646.32
6165,3,10581769.35,8819714.21
6177,U1B,10460034.98,7031493.89
6177,U2B,9638093.66,7322816.99
6204,1,12932170.12,8541463.77
6204,2,13879930.45,10927839.04
6204,3,13380938.65,11166162.29
6248,1,11827409.63,9449427.3
6481,1SGA,23303402.75,14220540
6481,2SGA,22880836.5,13817671
6761,101,7002517.53,6317392.72
6761,A,40397.2,9486.76
6761,B,69065.16,9584.82
6761,C,41162.02,6928.5
6761,D,45111.52,10692.66
6761,F,109018.11,84480.65
7082,**3,65091.11,65087.93
7082,**4,78483.51,75281.06
,,,4922441.9
,,,4978831.78
7266,1,198697.82,321904.42
7266,2,1029225.58,822294.84
7307,5,408630.5,233079.17
,,,478201.01
7315,1,293330.45,170194.15
,,,109446.76
,,,140518.74
,,,43047.88
7350,CTG1,2862926.09,3937433.25
7350,CTG2,4851073.49,4798045.59
7449,NA1,210899.17,15299.54
7456,1,30782.01,58422.46
7456,2,25430.09,78651.93
,,,
7504,CT1,118866.35,24840.78
7527,1,1069017.99,980549.61
7527,2,59691.02,64371.06
7551,1A,986752.99,843836.47
7551,1B,1006609.08,975229.03
7551,1C,98787.61,104303.17
7552,1,3642737.75,2526943.6
7605,1,4533333.94,4071692.31
7693,1,163405.17,153398.2
7870,CT1,130201.22,134136.99
7870,CT2,127354.21,148482.22
7870,CT3,134646.7,157254.39
7945,1,6102.15,
7953,CT1,158770.92,472253.41
7953,CT2,38020.86,16224.55
7953,CT3,34526.39,16512.3
7967,1,110429.75,18956.28
7967,2,108800.75,23408.3
7975,1,51247.84,27378.88
7975,2,27428.23,33375.77
7975,3,15182.08,22718.22
7975,4,65593.73,18863.81
,,,
7999,1,266524.55,3901385.43
7999,2,268430.85,3897177.42
8066,BW71,12048119.43,9350049.72
8066,BW72,12603581.07,9499892.36
8066,BW73,12084111.31,8008741.3
8066,BW74,11672133.4,9029670.12
8068,5A,3927458.24,2595524.14
8068,5B,3717077.72,2721015.91
8068,6A,3873186.83,2821515.65
8069,1,10960048.27,8594380.59
8069,2,10700608.28,8066181.53
8219,1,5240496.47,4051002.56
8219,2,9314.04,2131.81
8219,3,11245.69,1844.64
8223,1,9748800.86,5584507.48
8223,2,9853401.39,8313595.6
,,,7105380.68
8223,TS3,7675793.99,7286754.33
8224,1,5208325.31,2004822.72
8224,2,5967337.63,1114456.08
10034,S-100,1179050.58,360255.92
10156,GEN1,181525.31,27878.54
10169,D1,1174606,89505.94
10294,2,61802.61,17282.15
10349,2,86853.41,87920.7
,,,104240.77
,,,67617.44
,,,
,,,
10682,GT2,15652.51,4193.41
10682,GT4,10030.04,20927.54
10682,GT5,10542.73,20038.12
10761,1,81053.58,97845.35
10761,2,415400.37,187455.26
10761,3,411896.72,193840.13
10761,4,362029.28,198509.77
10761,5,351070.15,196806.69
,,,
,,,
50131,1,516883.08,675909.94
,,,323663.24
,,,229612.57
,,,293116.22
,,,270112.73
,,,265494.73
50864,1,485342.64,581577.63
50865,1,491636.02,625770.13
,,,
,,,
,,,963505.21
,,,934341.42
,,,815181.29
,,,745538.72
,,,713189.31
,,,15621.39
,,,31630.58
54761,1,3463767.12,2567946.64
54761,2,3332297.59,2774452.33
,,,
54814,1,1393698.75,296190.56
54814,2,1349864.25,352279.18
,,,21025.2
,,,16149.59
,,,12215.77
