ORISPL_CODE,UNITID,NAME,Pmin_1d,Pmin_2d0,CAPACITY
9,CTG-1,Copper Station,45.73,44.67,70
116,1,Ocotillo Power Plant,2.31,1.16,115
116,2,Ocotillo Power Plant,2.31,1.16,115
117,CC4,APS West Phoenix Power Plant,101.31,100.04,126
117,CC5A,APS West Phoenix Power Plant,162.41,160.8,320
117,CC5B,APS West Phoenix Power Plant,163.45,110.36,278
118,1,APS Saguaro Power Plant,106.55,104.83,114
118,2,APS Saguaro Power Plant,101.39,99.82,104
118,CT3,APS Saguaro Power Plant,41.29,40.04,83
120,1,Yucca Power Plant,26.53,25.33,80
120,CT5,Yuma Axis,21.11,20.1,50
120,CT6,Yuma Axis,20.93,19.94,49
124,GT1,De Moss Petrie Generating Station,41.86,40.58,85
126,1,Irvington Generating Station,21.53,20.26,84
126,2,Irvington Generating Station,21.36,20.08,85
126,3,Irvington Generating Station,31.51,25.78,114
126,4,Irvington Generating Station,40.87,40.04,166
141,1,Agua Fria Generating Station,113.43,112.28,228
141,2,Agua Fria Generating Station,227.34,226.17,232
141,3,Agua Fria Generating Station,185.25,183.32,384
147,K-1,Kyrene Generating Station,35.1,30.75,36
147,K-2,Kyrene Generating Station,71.77,70.65,74
147,K-7,Kyrene Generating Station,161.23,159.83,279
160,1,Apache Station,23.15,22.2,94
160,4,Apache Station,42.69,40.03,531
228,10,Contra Costa Power Plant,53.83,51.76,412
228,9,Contra Costa Power Plant,347,347,347
246,1,Humboldt Bay,8.14,7.06,54
246,2,Humboldt Bay,8.02,7.19,55
247,3,Hunters Point,-1,-1,-1
247,4,Hunters Point,-1,-1,-1
247,5,Hunters Point,-1,-1,-1
247,6,Hunters Point,-1,-1,-1
247,7,Hunters Point,38.69,36.93,175
259,1,"Morro Bay Power Plant, LLC",36.3,34.61,168
259,2,"Morro Bay Power Plant, LLC",36.51,34.77,173
259,3,"Morro Bay Power Plant, LLC",41.73,39.99,346
259,4,"Morro Bay Power Plant, LLC",37.15,35.38,352
260,1A,Moss Landing,261.67,169.41,301
260,2A,Moss Landing,262.11,168.73,326
260,3A,Moss Landing,262.54,259.07,346
260,4A,Moss Landing,264.06,151.09,281
260,1-Jun,Moss Landing,-1,-1,-1
260,1-Jul,Moss Landing,-1,-1,-1
271,1,Pittsburg Power Plant (CA),160.16,158.49,166
271,2,Pittsburg Power Plant (CA),160.54,32.76,163
271,3,Pittsburg Power Plant (CA),33.58,31.94,163
271,4,Pittsburg Power Plant (CA),34.4,32.76,163
271,5,Pittsburg Power Plant (CA),53.07,51.41,330
271,6,Pittsburg Power Plant (CA),51.25,49.6,329
271,7,Pittsburg Power Plant (CA),714.35,223.46,729
273,1-Mar,Potrero Power Plant,-1,-1,-1
302,1,Cabrillo Power I Encina Power Station,24.2,22.51,112
302,2,Cabrillo Power I Encina Power Station,26.12,23.85,113
302,3,Cabrillo Power I Encina Power Station,24.54,23.22,132
302,4,Cabrillo Power I Encina Power Station,30.65,29.04,321
302,5,Cabrillo Power I Encina Power Station,31.21,29.47,345
310,1,"Dynegy South Bay, LLC",36.98,55.48,160
