orispl_code,unitid,name,latitude,longitude,county,state,total_gen,capacity,fuel
87,1,Escalante ,35.4159,-108.082,McKinley,NM,27886837,273,coal
113,1,Cholla,34.9394,-110.3033,Navajo,AZ,13573545,132,coal
113,2,Cholla,34.9394,-110.3033,Navajo,AZ,29133162,306,coal
113,3,Cholla,34.9394,-110.3033,Navajo,AZ,30366954,307,coal
113,4,Cholla,34.9394,-110.3033,Navajo,AZ,46565885,436,coal
126,4,Irvington Generating Station,32.16,-110.9047,Pima,AZ,10665489,163,coal
160,2,Apache Station,32.0619,-109.8931,Cochise,AZ,21272681,210,coal
160,3,Apache Station,32.0619,-109.8931,Cochise,AZ,22677475,212,coal
465,1,Arapahoe,39.67,-105.0028,Denver,CO,575222,44,coal
465,2,Arapahoe,39.67,-105.0028,Denver,CO,412374,51,coal
465,3,Arapahoe,39.67,-105.0028,Denver,CO,3416991,50,coal
465,4,Arapahoe,39.67,-105.0028,Denver,CO,8670274,122,coal
468,2,Cameo,39.1486,-108.3189,Mesa,CO,3176545,56,coal
469,1,Cherokee,39.8078,-104.9648,Adams,CO,8116590,124,coal
469,2,Cherokee,39.8078,-104.9648,Adams,CO,7676734,149,coal
469,3,Cherokee,39.8078,-104.9648,Adams,CO,14776994,185,coal
469,4,Cherokee,39.8078,-104.9648,Adams,CO,38345584,400,coal
470,1,Comanche (470),38.2081,-104.5747,Pueblo,CO,38474566,368,coal
470,2,Comanche (470),38.2081,-104.5747,Pueblo,CO,40699886,385,coal
470,3,Comanche (470),38.2081,-104.5747,Pueblo,CO,34260247,872,coal
477,5,Valmont,40.0195,-105.202,Boulder,CO,20534503,200,coal
492,5,Martin Drake,38.8244,-104.8331,El Paso,CO,4916285,53,coal
492,6,Martin Drake,38.8244,-104.8331,El Paso,CO,8976776,86,coal
492,7,Martin Drake,38.8244,-104.8331,El Paso,CO,15285932,144,coal
508,8,Lamar,38.0921,-102.6148,Prowers,CO,205537,39,coal
525,H1,Hayden,40.4856,-107.185,Routt,CO,24008956,207,coal
525,H2,Hayden,40.4856,-107.185,Routt,CO,34065002,300,coal
527,1,Nucla,38.2387,-108.5083,Montrose,CO,10545580,115,coal
2187,2,J E Corette,45.7747,-108.4803,Yellowstone,MT,15114032,172,coal
2324,1,Reid Gardner,36.6531,-114.6364,Clark,NV,9094311,125,coal
2324,2,Reid Gardner,36.6531,-114.6364,Clark,NV,8972727,127,coal
2324,3,Reid Gardner,36.6531,-114.6364,Clark,NV,9000466,125,coal
2324,4,Reid Gardner,36.6531,-114.6364,Clark,NV,23456165,304,coal
2341,1,Mohave,35.1458,-114.5917,Clark,NV,26368466,828,coal
2341,2,Mohave,35.1458,-114.5917,Clark,NV,26634824,825,coal
2442,1,Four Corners Steam Elec Station,36.69,-108.4814,San Juan,NM,17591091,199,coal
2442,2,Four Corners Steam Elec Station,36.69,-108.4814,San Juan,NM,18359890,197,coal
2442,3,Four Corners Steam Elec Station,36.69,-108.4814,San Juan,NM,23283112,256,coal
2442,4,Four Corners Steam Elec Station,36.69,-108.4814,San Juan,NM,90447395,830,coal
2442,5,Four Corners Steam Elec Station,36.69,-108.4814,San Juan,NM,86338633,836,coal
2451,1,San Juan,36.8006,-108.4386,San Juan,NM,41054523,381,coal
2451,2,San Juan,36.8006,-108.4386,San Juan,NM,40055440,386,coal
2451,3,San Juan,36.8006,-108.4386,San Juan,NM,59507007,570,coal
2451,4,San Juan,36.8006,-108.4386,San Juan,NM,62318916,573,coal
3644,1,Carbon,39.7272,-110.8644,Carbon,UT,7798814,79,coal
3644,2,Carbon,39.7272,-110.8644,Carbon,UT,11946370,120,coal
3845,BW21,Centralia,46.7559,-122.8578,Lewis,WA,65929439,776,coal
3845,BW22,Centralia,46.7559,-122.8578,Lewis,WA,64359772,770,coal
4158,BW41,Dave Johnston,42.8378,-105.7769,Converse,WY,13598469,121,coal
4158,BW42,Dave Johnston,42.8378,-105.7769,Converse,WY,13930489,120,coal
4158,BW43,Dave Johnston,42.8378,-105.7769,Converse,WY,27955993,260,coal
4158,BW44,Dave Johnston,42.8378,-105.7769,Converse,WY,40343854,375,coal
4162,1,Naughton,41.7572,-110.5986,Lincoln,WY,21270408,177,coal
4162,2,Naughton,41.7572,-110.5986,Lincoln,WY,27202156,234,coal
4162,3,Naughton,41.7572,-110.5986,Lincoln,WY,41535382,375,coal
4941,1,Navajo Generating Station,36.9047,-111.3886,Coconino,AZ,98415666,865,coal
4941,2,Navajo Generating Station,36.9047,-111.3886,Coconino,AZ,98510050,822,coal
4941,3,Navajo Generating Station,36.9047,-111.3886,Coconino,AZ,97986643,819,coal
6021,C1,Craig,40.4627,-107.5912,Moffat,CO,54947398,476,coal
6021,C2,Craig,40.4627,-107.5912,Moffat,CO,54778705,473,coal
6021,C3,Craig,40.4627,-107.5912,Moffat,CO,55754110,488,coal
6076,1,Colstrip,45.8831,-106.614,Rosebud,MT,37857454,352,coal
6076,2,Colstrip,45.8831,-106.614,Rosebud,MT,37475635,348,coal
6076,3,Colstrip,45.8831,-106.614,Rosebud,MT,93194678,822,coal
6076,4,Colstrip,45.8831,-106.614,Rosebud,MT,91196808,826,coal
6089,B1,Lewis & Clark,47.6788,-104.1569,Richland,MT,5393809,58,coal
6101,BW91,Wyodak,44.2886,-105.3847,Campbell,WY,47450064,405,coal
6106,1SG,Boardman,45.6933,-119.8056,Morrow,OR,58514922,644,coal
6165,1,Hunter,39.1747,-111.0289,Emery,UT,53267338,490,coal
6165,2,Hunter,39.1747,-111.0289,Emery,UT,54739677,492,coal
6165,3,Hunter,39.1747,-111.0289,Emery,UT,56823914,520,coal
6177,U1B,Coronado Generating Station,34.5778,-109.2717,Apache,AZ,51787459,456,coal
6177,U2B,Coronado Generating Station,34.5778,-109.2717,Apache,AZ,51833133,456,coal
